School,Year,Level,Size
Bluefield Family of Schools,Bluefield High,2008,Grade 9,0
Bluefield Family of Schools,Bluefield High,2008,Grade 10,287
Bluefield Family of Schools,Bluefield High,2008,Grade 11,282
Bluefield Family of Schools,Bluefield High,2008,Grade 12,252
Bluefield Family of Schools,Bluefield High,2009,K,0
Bluefield Family of Schools,Bluefield High,2009,Grade 1,0
Bluefield Family of Schools,Bluefield High,2009,Grade 2,0
Bluefield Family of Schools,Bluefield High,2009,Grade 3,0
Bluefield Family of Schools,Bluefield High,2009,Grade 4,0
Bluefield Family of Schools,Bluefield High,2009,Grade 5,0
Bluefield Family of Schools,Bluefield High,2009,Grade 6,0
Bluefield Family of Schools,Bluefield High,2009,Grade 7,0
Bluefield Family of Schools,Bluefield High,2009,Grade 8,0
Bluefield Family of Schools,Bluefield High,2009,Grade 9,0
Bluefield Family of Schools,Bluefield High,2009,Grade 10,250
Bluefield Family of Schools,Bluefield High,2009,Grade 11,275
Bluefield Family of Schools,Bluefield High,2009,Grade 12,263
Bluefield Family of Schools,Bluefield High,2010,K,0
Bluefield Family of Schools,Bluefield High,2010,Grade 1,0
Bluefield Family of Schools,Bluefield High,2010,Grade 2,0
Bluefield Family of Schools,Bluefield High,2010,Grade 3,0
Bluefield Family of Schools,Bluefield High,2010,Grade 4,0
Bluefield Family of Schools,Bluefield High,2010,Grade 5,0
Bluefield Family of Schools,Bluefield High,2010,Grade 6,0
Bluefield Family of Schools,Bluefield High,2010,Grade 7,0
Bluefield Family of Schools,Bluefield High,2010,Grade 8,0
Bluefield Family of Schools,Bluefield High,2010,Grade 9,0
Bluefield Family of Schools,Bluefield High,2010,Grade 10,239
Bluefield Family of Schools,Bluefield High,2010,Grade 11,245
Bluefield Family of Schools,Bluefield High,2010,Grade 12,278
Bluefield Family of Schools,Bluefield High,2011,K,0
Bluefield Family of Schools,Bluefield High,2011,Grade 1,0
Bluefield Family of Schools,Bluefield High,2011,Grade 2,0
